2019/05/10 02:25:24 [notice] 25#25: signal process started
2019/05/10 14:04:00 [error] 6#6: *45 open() "/usr/share/nginx/html/MyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /MyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:00 [error] 6#6: *46 open() "/usr/share/nginx/html/program/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /program/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:01 [error] 6#6: *47 open() "/usr/share/nginx/html/PMA/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /PMA/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:02 [error] 6#6: *48 open() "/usr/share/nginx/html/dbadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /dbadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:02 [error] 6#6: *49 open() "/usr/share/nginx/html/pma/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /pma/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:03 [error] 6#6: *50 open() "/usr/share/nginx/html/db/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:03 [error] 6#6: *51 open() "/usr/share/nginx/html/admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:04 [error] 6#6: *52 open() "/usr/share/nginx/html/mysql/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:04 [error] 6#6: *53 open() "/usr/share/nginx/html/database/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /database/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:05 [error] 6#6: *54 open() "/usr/share/nginx/html/db/phpmyadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/phpmyadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:05 [error] 6#6: *55 open() "/usr/share/nginx/html/db/phpMyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/phpMyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:06 [error] 6#6: *56 open() "/usr/share/nginx/html/sqlmanager/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sqlmanager/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:06 [error] 6#6: *57 open() "/usr/share/nginx/html/mysqlmanager/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysqlmanager/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:07 [error] 6#6: *58 open() "/usr/share/nginx/html/php-myadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /php-myadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:07 [error] 6#6: *59 open() "/usr/share/nginx/html/phpmy-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmy-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:08 [error] 6#6: *60 open() "/usr/share/nginx/html/mysqladmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysqladmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:08 [error] 6#6: *61 open() "/usr/share/nginx/html/mysql-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:09 [error] 6#6: *62 open() "/usr/share/nginx/html/admin/phpmyadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/phpmyadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:09 [error] 6#6: *63 open() "/usr/share/nginx/html/admin/phpMyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/phpMyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:11 [error] 6#6: *64 open() "/usr/share/nginx/html/admin/sysadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/sysadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:11 [error] 6#6: *65 open() "/usr/share/nginx/html/admin/sqladmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/sqladmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:12 [error] 6#6: *66 open() "/usr/share/nginx/html/admin/db/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/db/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:12 [error] 6#6: *67 open() "/usr/share/nginx/html/admin/web/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/web/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:13 [error] 6#6: *68 open() "/usr/share/nginx/html/admin/pMA/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /admin/pMA/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:13 [error] 6#6: *69 open() "/usr/share/nginx/html/mysql/pma/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/pma/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:13 [error] 6#6: *70 open() "/usr/share/nginx/html/mysql/db/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/db/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:14 [error] 6#6: *71 open() "/usr/share/nginx/html/mysql/web/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/web/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:15 [error] 6#6: *72 open() "/usr/share/nginx/html/mysql/pMA/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/pMA/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:15 [error] 6#6: *73 open() "/usr/share/nginx/html/sql/phpmanager/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/phpmanager/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:15 [error] 6#6: *74 open() "/usr/share/nginx/html/sql/php-myadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/php-myadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:16 [error] 6#6: *75 open() "/usr/share/nginx/html/sql/phpmy-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/phpmy-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:17 [error] 6#6: *76 open() "/usr/share/nginx/html/sql/sql/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/sql/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:17 [error] 6#6: *77 open() "/usr/share/nginx/html/sql/myadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/myadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:17 [error] 6#6: *78 open() "/usr/share/nginx/html/sql/webadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/webadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:18 [error] 6#6: *79 open() "/usr/share/nginx/html/sql/sqlweb/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/sqlweb/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:18 [error] 6#6: *80 open() "/usr/share/nginx/html/sql/websql/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/websql/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:19 [error] 6#6: *81 open() "/usr/share/nginx/html/sql/webdb/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/webdb/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:19 [error] 6#6: *82 open() "/usr/share/nginx/html/sql/sqladmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/sqladmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:20 [error] 6#6: *83 open() "/usr/share/nginx/html/sql/sql-admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/sql-admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:20 [error] 6#6: *84 open() "/usr/share/nginx/html/sql/phpmyadmin2/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/phpmyadmin2/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:21 [error] 6#6: *85 open() "/usr/share/nginx/html/sql/phpMyAdmin2/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/phpMyAdmin2/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:22 [error] 6#6: *86 open() "/usr/share/nginx/html/sql/phpMyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /sql/phpMyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:22 [error] 6#6: *87 open() "/usr/share/nginx/html/db/myadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/myadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:22 [error] 6#6: *88 open() "/usr/share/nginx/html/db/webadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/webadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:04:24 [error] 6#6: *89 open() "/usr/share/nginx/html/db/dbweb/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /db/dbweb/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
